x1=0.15000000000000002 v1=0 x2=0.25 v2=0
x1=0.14999750004166668 v1=-0.004999833333333338 x2=0.24999999987500313 v2=-2.4999166673469095e-07
x1=0.14999000066664653 v1=-0.009998666729165388 x2=0.24999999912505938 v2=-1.2498833375669074e-06
x1=0.14997750337474586 v1=-0.014995500499972923 x2=0.24999999675041873 v2=-3.499358382355137e-06
x1=0.14996001066522513 v1=-0.019989335458122728 x2=0.24999999125183106 v2=-7.497725291778779e-06
x1=0.14993752603617427 v1=-0.024979173165654133 x2=0.249999980630996 v2=-1.3743767865623721e-05
x1=0.14991005398363821 v1=-0.02996401618386664 x2=0.2499999623911623 v2=-2.2735595540988864e-05
x1=0.14987760000049286 v1=-0.03494286832264777 x2=0.24999993353787714 v2=-3.497049390031037e-05
x1=0.14984017057507204 v1=-0.039914734889476264 x2=0.2499998905798845 v2=-5.094477539909122e-05
x1=0.1497977731895456 v1=-0.044878622938035934 x2=0.24999982953017288 v2=-7.115363035312082e-05
x1=0.14975041631804897 v1=-0.0498335415163755 x2=0.24999974590717175 v2=-9.609097822495435e-05
x1=0.1496981094245651 v1=-0.05477850191454996 x2=0.2499996347360966 v2=-0.00012624931924927428
x1=0.14964086296055878 v1=-0.05971251791167899 x2=0.2499994905504422 v2=-0.00016211958643673707
x1=0.14957868836236438 v1=-0.06463460602235832 x2=0.2499993073936237 v2=-0.00020419099799576793
x1=0.1495115980483274 v1=-0.06954378574235984 x2=0.24999907882076483 v2=-0.0002529509102116685
x1=0.14943960541570087 v1=-0.07443907979355666 x2=0.24999879790063334 v2=-0.0003088846708222746
x1=0.1493627248372971 v1=-0.0793195143680095 x2=0.24999845721772246 v2=-0.00037247547292928687
x1=0.1492809716578959 v1=-0.08418411937115088 x2=0.2499980488744784 v2=-0.00044420420948422897
x1=0.1491943621904099 v1=-0.08903192866400382 x2=0.249997564493673 v2=-0.0005245493283878832
x1=0.14910291371180848 v1=-0.09386198030437236 x2=0.24999699522092078 v2=-0.0006139866882418415
x1=0.14900664445880069 v1=-0.09867331678694083 x2=0.2499963317273402 v2=-0.0007129894147906625
x1=0.14890557362327891 v1=-0.10346498528221981 x2=0.24999556421235786 v2=-0.0008220277580929571
x1=0.14879972134752414 v1=-0.10823603787427645 x2=0.24999468240665526 v2=-0.0009415689504594936
x1=0.148689108719174 v1=-0.11298553179718743 x2=0.24999367557525723 v2=-0.0010720770651962692
x1=0.1485737577659552 v1=-0.11771252967015314 x2=0.24999253252076115 v2=-0.0012140128761902297
x1=0.14845369145018128 v1=-0.1224160997312119 x2=0.24999124158670616 v2=-0.0013678337183751273
x1=0.14832893366301783 v1=-0.12709531606949354 x2=0.24998979066108146 v2=-0.0015339933491147646
x1=0.14819950921851568 v1=-0.13174925885595198 x2=0.24998816717997271 v2=-0.0017129418105406456
x1=0.14806544384741455 v1=-0.13637701457251683 x2=0.2499863581313457 v2=-0.0019051252928807732
x1=0.14792676419071812 v1=-0.1409776762396044 x2=0.24998435005896605 v2=-0.0021109859988161215
x1=0.1477834977930426 v1=-0.14555034364192918 x2=0.24998212906645406 v2=-0.002330962008900993
x1=0.1476356730957402 v1=-0.15009412355255694 x2=0.24997968082147368 v2=-0.0025654871480832175
x1=0.14748331942979964 v1=-0.15460812995514134 x2=0.2499769905600543 v2=-0.0028149908533598497
x1=0.14732646700852522 v1=-0.1590914842642862 x2=0.24997404309104426 v2=-0.003079898042603748
x1=0.14716514691999652 v1=-0.16354331554397644 x2=0.2499708228006951 v2=-0.003360628984596064
x1=0.14699939111931065 v1=-0.16796276072402055 x2=0.249967313657375 v2=-0.003657599170299405
x1=0.14682923242060916 v1=-0.17234896481444878 x2=0.2499634992164104 v2=-0.00397121918540608
x1=0.14665470448889145 v1=-0.176701081117811 x2=0.24995936262505428 v2=-0.004301894584195499
x1=0.14647584183161708 v1=-0.18101827143931937 x2=0.24995488662758011 v2=-0.004650025764734476
x1=0.14629267979009902 v1=-0.18529970629478118 x2=0.24995005357049985 v2=-0.005016007845453797
x1=0.14610525453069007 v1=-0.18954456511626766 x2=0.24994484540790454 v2=-0.005400230543134105
x1=0.14591360303576467 v1=-0.19375203645546568 x2=0.24993924370692633 v2=-0.005803078052333745
x1=0.14571776309449883 v1=-0.19792131818465927 x2=0.2499332296533203 v2=-0.0062249289262908064
x1=0.1455177732934499 v1=-0.20205161769528895 x2=0.2499267840571646 v2=-0.006666155959331319
x1=0.14531367300693934 v1=-0.20614215209403722 x2=0.24991988735867748 v2=-0.007127126070815025
x1=0.1451055023872405 v1=-0.21019214839638933 x2=0.24991251963414954 v2=-0.007608200190649866
x1=0.1448933023545741 v1=-0.21420084371761927 x2=0.2499046606019896 v2=-0.00810973314640583
x1=0.1446771145869142 v1=-0.21816748546115108 x2=0.2498962896288828 v2=-0.008632073552058412
x1=0.14445698150960695 v1=-0.22209133150424687 x2=0.24988738573605904 v2=-0.009175563698391558
x1=0.14423294628480507 v1=-0.2259716503809732 x2=0.24987792760567015 v2=-0.009740539445089434
x1=0.14400505280072087 v1=-0.22980772146239864 x2=0.24986789358727418 v2=-0.01032733011454599
x1=0.14377334566070032 v1=-0.2335988351339753 x2=0.24985726170442488 v2=-0.010936258387420825
x1=0.1435378701721212 v1=-0.23734429297005882 x2=0.2498460096613649 v2=-0.011567640199969375
x1=0.1432986723351182 v1=-0.24104340790552112 x2=0.24983411484982065 v2=-0.012221784643175018
x1=0.14305579883113795 v1=-0.24469550440441176 x2=0.24982155435589726 v2=-0.012898993863710176
x1=0.14280929701132675 v1=-0.248299918625624 x2=0.24980830496707132 v2=-0.013599562966753048
x1=0.1425592148847542 v1=-0.25185599858552266 x2=0.2497943431792803 v2=-0.014323779920686102
x1=0.14230560110647586 v1=-0.2553631043174916 x2=0.24977964520410595 v2=-0.015071925463701964
